,logFC,logCPM,PValue,FDR
hsa-miR-363-3p,-1.506947139,6.123203127,0.033258208,0.867805793
hsa-miR-4738-5p,-1.19404835,7.125808361,0.033406347,0.867805793
hsa-miR-1909-5p,-1.218509501,8.392129834,0.033832212,0.868993676
hsa-miR-193a-3p,0.792737636,5.271443641,0.034265373,0.870340472
hsa-miR-889-5p,0.677032728,5.924504598,0.034885673,0.876358785
hsa-miR-1249-3p,-1.232966225,8.782687522,0.035878869,0.891511896
hsa-miR-5089-5p,1.097439707,4.982541081,0.03715943,0.896860434
hsa-miR-423-3p,-0.794092447,8.964631202,0.037201288,0.896860434
hsa-miR-450a-1-3p,-1.176340634,5.840328491,0.037670799,0.896860434
hsa-miR-6875-3p,0.767299665,5.821122066,0.037836616,0.896860434
hsa-miR-4658,0.834964206,5.909514511,0.038055758,0.896860434
hsa-miR-200c-5p,-1.4118845,6.566938218,0.038739188,0.903241947
hsa-miR-2276-3p,-0.881043243,6.013701647,0.039116777,0.903241947
hsa-miR-10a-3p,-0.75607921,5.525843014,0.040258139,0.910545802
hsa-miR-302d-5p,-3.207040534,4.043520165,0.040419403,0.910545802
hsa-miR-4780,-1.260556538,6.425717683,0.040932285,0.910545802
hsa-miR-3936,0.773525565,8.813924058,0.041026342,0.910545802
hsa-miR-5008-5p,1.500927135,6.443631629,0.043250112,0.93483268
hsa-miR-2113,-1.285247186,5.474823791,0.043765384,0.93483268
hsa-miR-224-5p,-1.498884847,7.414886102,0.043801189,0.93483268
hsa-miR-4661-5p,-0.890938693,5.593615652,0.044061606,0.93483268
hsa-miR-142-5p,-1.212553314,8.777714631,0.044559823,0.93483268
hsa-miR-3168,1.036446673,9.261156058,0.044574262,0.93483268
hsa-miR-4800-3p,0.876731838,5.840966435,0.045527614,0.946146602
hsa-miR-7974,1.253936091,4.638423459,0.04775969,0.98359146
hsa-miR-1229-3p,-1.109073479,6.930800187,0.048914782,0.998385644
hsa-miR-374a-5p,-0.69147784,5.894881426,0.049631269,1
hsa-miR-4299,0.788484359,4.993153621,0.050141855,1
hsa-miR-422a,-1.469368001,5.668266129,0.051021353,1
hsa-miR-193b-5p,-0.980124123,8.941247462,0.051803669,1
hsa-miR-190a-3p,-3.015271604,3.920605358,0.052029666,1
hsa-miR-1273h-5p,0.970177529,5.09891092,0.052675651,1
hsa-miR-361-5p,-0.707534644,9.582950659,0.052721009,1
hsa-miR-5088-3p,-0.885159826,6.447017701,0.053286993,1
hsa-miR-203a-3p,-2.210861237,13.53562726,0.054939199,1
hsa-miR-514a-3p,-0.990035652,9.1280725,0.055222041,1
hsa-miR-6783-5p,-0.932234914,7.867212524,0.055947651,1
hsa-miR-4709-5p,0.734491381,5.776426954,0.055991977,1
hsa-miR-4739,-0.770204814,6.530555851,0.056011457,1
hsa-miR-365a-3p,-0.898156343,5.61582755,0.056896168,1
hsa-miR-92a-3p,-0.750485326,13.10363493,0.057073105,1
hsa-miR-365b-3p,-1.018814683,5.373788188,0.0572396,1
hsa-miR-4423-5p,0.626810787,6.031624882,0.058419407,1
hsa-miR-506-3p,-1.066359631,5.226475997,0.058658781,1
hsa-miR-101-3p,-0.733621142,10.81173444,0.058757755,1
hsa-miR-15b-5p,-0.649392577,8.774187074,0.059208835,1
hsa-miR-6733-5p,0.98389572,5.373733865,0.059597272,1
hsa-miR-4280,0.786833887,8.131533176,0.059677405,1
hsa-miR-520g-3p,0.698165966,6.389905562,0.060145055,1
hsa-miR-1288-3p,0.770427894,5.593478135,0.060370543,1
hsa-miR-664a-3p,0.68817797,9.536483543,0.060743587,1
hsa-miR-5092,-0.689566414,5.327118529,0.061192678,1
