,logFC,logCPM,PValue,FDR
MIMAT0010251,-7.16331409448213,5.01432538580165,9.11569024076026e-07,0.000259797171861667
MIMAT0000736,-1.42285584717362,8.95778147492402,0.00111410706474153,0.146690471503014
MIMAT0004600,-3.93047323245891,6.91149742303023,0.00154411022634751,0.146690471503014
MIMAT0000617,-2.23525197733282,10.0243368754752,0.00290388911404628,0.148852466810795
MIMAT0000434,-1.94015426522362,10.2062369700508,0.0029520207442527,0.148852466810795
MIMAT0000436,-3.23215870955717,7.08300421282787,0.0036234724303661,0.148852466810795
MIMAT0000720,-1.57532753044116,7.34884439610736,0.00365602550061601,0.148852466810795
MIMAT0000101,2.24134411875218,4.11575305961875,0.00432610982869029,0.154117662647091
MIMAT0000733,-1.1488740058845,10.7390912018057,0.00746913567623617,0.236522629747479
MIMAT0000682,-1.85511302011993,9.77400021897154,0.0091505286630511,0.260790066896956
MIMAT0000318,-1.79088243005649,9.31172380940608,0.010720218559442,0.277751117221906
MIMAT0004555,-2.36065559957453,5.3363395048401,0.0130707539675386,0.310430406729042
MIMAT0022727,1.57398752438416,5.24046496723418,0.0154968460340977,0.339738547670603
MIMAT0004814,-1.20549144686201,8.56509063528629,0.0168965936892432,0.343966371531022
MIMAT0003886,0.980451930708947,7.54307921075678,0.0188136067134358,0.35745852755528
MIMAT0000686,-2.10024881050872,6.84987784856719,0.0216949840718445,0.386441903779731
MIMAT0000432,-2.03970619833078,10.2833465084321,0.0234164687932028,0.39257021212134
MIMAT0000088,0.813280895614679,12.5658683077781,0.0269038100238319,0.420901175345796
MIMAT0004550,0.949191705262858,8.02908542362857,0.0280600783563864,0.420901175345796
MIMAT0000259,-1.21494663606892,8.999993509355,0.0300957050553838,0.428863797039219
MIMAT0001536,-2.19297933022606,7.92077854449175,0.0333695054897234,0.436534331368077
MIMAT0000261,-1.63158010249751,7.92315317052862,0.0336973869827989,0.436534331368077
MIMAT0001618,0.939638707100051,6.23005544204205,0.0365561136725141,0.437473535392075
MIMAT0000755,-1.07837777163371,8.56152380529615,0.0368398766645958,0.437473535392075
MIMAT0000447,-0.986198697842381,11.864654727155,0.0399722884682364,0.455684088537895
MIMAT0001639,-0.828926319648899,11.251901578147,0.0451644051267869,0.49507136388978
MIMAT0000269,-1.0093551871418,6.58131774201647,0.0508217812934303,0.519876041003124
MIMAT0000458,0.74850761968106,9.37070871496,0.0510755408704823,0.519876041003124
MIMAT0003322,-1.62056360147132,5.68241681248134,0.0579004172208209,0.537836647168788
MIMAT0000446,-0.820645268771761,11.9842494664944,0.0582198240547683,0.537836647168788
MIMAT0005788,1.11356429183022,5.10002363845405,0.0594107770255517,0.537836647168788
MIMAT0004604,-1.1754284586443,5.96532337376479,0.0603886761733376,0.537836647168788
MIMAT0000226,-1.61857614475064,5.92046989292298,0.0654653699756765,0.565382740699024
MIMAT0000087,0.734068675037247,15.1987922920985,0.0711817893259766,0.577494546699331
MIMAT0000252_2,1.26852720909398,5.32679924037789,0.0725103734261168,0.577494546699331
MIMAT0004496,1.75678659251119,4.2428992993591,0.0729466795830733,0.577494546699331
MIMAT0000266,-2.17700178753211,12.0806671145137,0.075038757261472,0.578001238365392
MIMAT0000281,-1.59441025933234,9.29774075212282,0.0825794646815477,0.608452194717993
MIMAT0002809,-0.682917060912479,11.0192338587276,0.0861606082215995,0.608452194717993
MIMAT0004799,0.959383394598696,6.04382834249239,0.0899187167565676,0.608452194717993
MIMAT0004594,-0.739924876519508,8.97705894697918,0.0917947477351791,0.608452194717993
MIMAT0001631,-2.03956912880504,10.7530636168081,0.093619075856072,0.608452194717993
MIMAT0003321,0.836202632524984,6.78690576002169,0.0957464168604222,0.608452194717993
MIMAT0018104,1.12015743387159,7.36478625690779,0.0963619791786981,0.608452194717993
MIMAT0000461,-0.755971795767541,11.2958723956953,0.0973217126635562,0.608452194717993
MIMAT0002176,-1.23672741783303,7.51770094321285,0.0985362624704227,0.608452194717993
MIMAT0001625,-0.771582728617092,7.65625428156628,0.100838164658871,0.608452194717993
MIMAT0000452,-1.03948565887904,6.75281542198784,0.105339658158006,0.608452194717993
MIMAT0000722,-0.909395071876994,9.21164805095345,0.106579034091598,0.608452194717993
MIMAT0000096,0.669352251934968,12.0251209572118,0.107716137025001,0.608452194717993
MIMAT0000280,-1.50096712138677,11.3810098458085,0.109745800874256,0.608452194717993
MIMAT0000426,-0.757200154522927,12.0875927852779,0.111015839036265,0.608452194717993
MIMAT0004673,-1.10730445025657,5.20607675855496,0.11345028170873,0.610062835603548
MIMAT0000099_1,0.654954146499227,6.9175309797489,0.12324432530895,0.619254413359565
MIMAT0000264,-2.15512723148295,14.7413843929532,0.123718573700027,0.619254413359565
MIMAT0004695,-0.983354908286035,7.19719895023934,0.126380551629388,0.619254413359565
MIMAT0000092,-0.791181323269145,9.48734746748943,0.126400799431453,0.619254413359565
MIMAT0004586,0.66646435156813,7.10336278144407,0.126987905371685,0.619254413359565
MIMAT0003885,0.730108235457189,10.1716444573454,0.129461747627177,0.619254413359565
MIMAT0014996,1.20648084330687,7.19282092915779,0.131722971825085,0.619254413359565
